% 1. Title: Base de Dados Sintética de Classificação de Usabilidade - Agenda Fácil
% 2. Sources: Gerado via LLM com base nas regras do TP2
% 3. Date: 19 de Outubro de 2025
%
@RELATION usabilidade_agenda_facil

@ATTRIBUTE tempo_agendar NUMERIC
@ATTRIBUTE passos_concluir NUMERIC
@ATTRIBUTE usou_lista_clientes {sim, nao}
@ATTRIBUTE ativou_lembrete {sim, nao}
@ATTRIBUTE erros_fluxo NUMERIC
@ATTRIBUTE nivel_usabilidade {Alta, Media, Baixa}

@DATA
147,20,nao,sim,3,Baixa
34,5,sim,sim,0,Alta
87,10,nao,nao,2,Media
116,12,sim,nao,1,Media
154,21,nao,nao,4,Baixa
42,6,sim,sim,0,Alta
64,8,nao,sim,1,Media
97,11,sim,nao,2,Media
121,14,nao,nao,1,Baixa
32,5,sim,sim,0,Alta
89,9,nao,nao,1,Media
141,18,sim,sim,3,Baixa
41,6,sim,sim,0,Alta
106,12,nao,nao,2,Media
70,8,sim,nao,1,Media
151,20,nao,nao,2,Baixa
35,5,sim,sim,0,Alta
56,7,nao,sim,1,Media
113,13,sim,nao,2,Media
132,15,nao,nao,4,Baixa
38,6,sim,sim,0,Alta
95,10,nao,nao,1,Media
61,8,sim,sim,2,Media
144,19,nao,sim,1,Baixa
44,5,sim,sim,0,Alta
79,9,nao,nao,1,Media
153,21,sim,nao,3,Baixa
30,4,sim,sim,0,Alta
80,10,nao,sim,2,Media
115,13,nao,nao,1,Media
162,23,nao,nao,4,Baixa
43,6,sim,sim,0,Alta
65,8,sim,nao,1,Media
104,11,nao,sim,2,Media
29,4,sim,sim,0,Alta
125,16,nao,nao,0,Baixa
51,7,sim,nao,1,Media
90,10,nao,sim,2,Media
36,5,sim,sim,0,Alta
135,16,nao,nao,5,Baixa
72,9,sim,nao,1,Media
150,21,nao,sim,3,Baixa
33,5,sim,sim,0,Alta
85,10,nao,nao,2,Media
118,12,sim,nao,1,Media
156,22,nao,nao,4,Baixa
40,6,sim,sim,0,Alta
68,8,nao,sim,1,Media
98,11,sim,nao,2,Media
122,14,nao,nao,1,Baixa
34,5,sim,sim,0,Alta
88,9,nao,nao,1,Media
142,19,sim,sim,3,Baixa
42,6,sim,sim,0,Alta
109,12,nao,nao,2,Media
71,8,sim,nao,1,Media
155,22,nao,nao,2,Baixa
37,5,sim,sim,0,Alta
57,7,nao,sim,1,Media
110,13,sim,nao,2,Media
130,15,nao,nao,4,Baixa
39,6,sim,sim,0,Alta
96,10,nao,nao,1,Media
63,8,sim,sim,2,Media
145,20,nao,sim,1,Baixa
45,5,sim,sim,0,Alta
78,9,nao,nao,1,Media
157,23,sim,nao,3,Baixa
31,4,sim,sim,0,Alta
82,10,nao,sim,2,Media
120,13,nao,nao,1,Media
160,24,nao,nao,4,Baixa
48,6,sim,nao,1,Media
66,9,nao,nao,2,Media
102,12,sim,sim,1,Media
50,7,nao,sim,1,Media
124,14,sim,nao,3,Baixa
170,25,nao,nao,5,Baixa
